week_beginning,student_tests,student_positive,student_isolate,student_clear,fs_tests,fs_positive,fs_isolate,fs_clear,semester,week_index
2020-01-03,7998,34,34,1,2289,28,28,0,SPRING 2021,1
2020-01-11,18465,49,49,27,3077,27,27,20,SPRING 2021,2
2020-01-18,27865,62,62,47,2716,20,20,25,SPRING 2021,3
2020-01-25,23008,54,54,59,3339,22,22,20,SPRING 2021,4
2020-02-01,20020,40,40,50,2839,16,16,18,SPRING 2021,5
2020-02-08,19929,13,13,44,2809,7,7,25,SPRING 2021,6
2020-02-15,18977,11,11,21,2712,14,14,11,SPRING 2021,7
2020-02-22,20374,22,22,11,2771,4,4,10,SPRING 2021,8
2020-03-01,19859,53,53,21,2678,4,4,4,SPRING 2021,9
2020-03-08,19131,218,218,29,2590,13,13,6,SPRING 2021,10
2020-03-15,20018,61,61,200,2437,17,17,11,SPRING 2021,11
2020-03-22,19448,25,25,101,2495,18,18,12,SPRING 2021,12
2020-03-29,18972,15,15,28,2299,15,15,14,SPRING 2021,13
2020-08-02,5854,11,11,0,516,4,4,0,FALL 2020,1
2020-08-15,4497,12,12,10,531,10,10,7,FALL 2020,2
2020-08-22,5358,6,6,11,284,3,3,3,FALL 2020,3
2020-08-29,6551,6,6,8,289,0,0,5,FALL 2020,4
2020-09-05,7079,5,5,4,503,1,1,2,FALL 2020,5
2020-09-12,11002,6,6,7,1311,3,3,2,FALL 2020,6
2020-09-19,12718,6,6,3,1423,2,2,1,FALL 2020,7
2020-09-26,12992,15,15,3,1562,5,5,4,FALL 2020,8
2020-10-03,13594,9,9,19,1593,3,3,3,FALL 2020,9
2020-10-10,13458,17,17,8,1685,3,3,5,FALL 2020,10
2020-10-17,13562,17,17,12,1816,4,4,2,FALL 2020,11
2020-10-24,13897,9,9,19,1681,8,8,4,FALL 2020,12
2020-10-31,13925,9,9,12,1933,13,13,5,FALL 2020,13
2020-11-07,14117,11,11,8,2029,19,19,12,FALL 2020,14
2020-11-14,13421,13,13,6,2111,11,11,15,FALL 2020,15
